RowType,InstanceId,ComponentType,ComponentName,RELevel,CertificationLevel,ShipClass,Source,Ownership,Armor,Hitpoints,Mass,ReactorEnergyDrain,ReactorGenerationRate,PitchRateMax,YawRateMax,RollRateMax,EngineTopSpeed,FrontShieldHP,BackShieldHP,ShieldRechargeRate,CapacitorEnergy,CapacitorRechargeRate,BoosterEnergy,BoosterRechargeRate,BoosterEnergyConsumption,BoosterAcceleration,TopBoosterSpeed,DroidCommandSpeed,DamageMin,DamageMax,VsShields,VsArmor,EnergyPerShot,RefireRate,Payload
Part,pmqvq53if34f3,Weapon,MandalMotors Annihilator Mk2,7,7,,Looted,Observed,474.1,474.1,18782,1984,,,,,,,,,,,,,,,,,1569.5,2588.3,0.499,0.49,,0.338,
Part,pmqvq53if4f7n,Weapon,Mark II Subpro Tripleblaster,6,6,,Looted,Observed,397.4,397.4,10317,2110.6,,,,,,,,,,,,,,,,,1440.2,2011.2,0.63,0.608,,0.406,
Part,pmqvq53if52tf,Weapon,Ionic Pulse Weapon,7,7,,Looted,Observed,419.2,419.27419,18284.3,1923.2,,,,,,,,,,,,,,,,,1785.2,2781.2,0.565,0.45,,0.34,
Part,pmqvq53if6wrw,Weapon,Ionic Pulse Weapon,7,7,,Looted,Observed,429.2,429.2,17345,2506.9,,,,,,,,,,,,,,,,,1835,2949.9,0.584,0.443,,0.336,
Part,pmqvq53if7tms,Weapon,MandalMotors Annihilator Mk2,7,7,,Looted,Observed,467.5,467.5,18276,2357.9,,,,,,,,,,,,,,,,,1520,2623.2,0.503,0.502,,0.352,
Part,pmqvq53if81pv,Shield,"Incom ""K-77"" Shield Generator",4,4,,Looted,Observed,258.8,258.8,6257,2681.2,,,,,,898.4,898.4,4.37,,,,,,,,,,,,,,,
Part,pmqvq53if9vlv,Shield,Kuat Systems Engineering Enhanced Mark I Military Shield Generator,2,2,,Looted,Observed,94.3,94.3,2241.7,2028.7,,,,,,243.2,243.8,1.68,,,,,,,,,,,,,,,
Part,pmqvq53igarhh,Shield,Sienar Proton Screen (Abandoned Prototype),2,2,,Looted,Observed,82.7,82.7,2281.1,2039.1,,,,,,254.6,259.5,2.3,,,,,,,,,,,,,,,
Part,pmqvq53igbqab,Shield,Taim & Bak Military-Grade Shield Generator,8,8,,Looted,Observed,700.8,700.8,43543.6,2931,,,,,,2433.4,2433.4,11.84,,,,,,,,,,,,,,,
Part,pmqvq53igccau,Shield,Taim & Bak Military-Grade Shield Generator,8,8,,Looted,Observed,700.9,700.9,43543,2930.9,,,,,,2433.4,2433.5,11.84,,,,,,,,,,,,,,,
Part,pmqvq53igdjjt,Shield,Protecto-net Shield,7,7,,Looted,Observed,573.9,573.9,34383.1,2685.2,,,,,,1921.2,0,11.37,,,,,,,,,,,,,,,
Part,pmqvq53igez2n,Shield,Mon Calamari Ion-Web Heavy Shields,7,7,,Looted,Observed,467.6,467.6,20761,3248.9,,,,,,1314.3,1318.3,10.82,,,,,,,,,,,,,,,
Part,pmqvq53igf7af,Shield,Moncal Ionweb Prototype B Shield,6,6,,Looted,Observed,393,393,15199.4,2565.7,,,,,,1123.3,0,9.77,,,,,,,,,,,,,,,
Part,pmqvq53iggqaq,Shield,Incom Rayshield Z1,5,5,,Looted,Observed,411.4,411.4,8446.6,2347.2,,,,,,832.4,730.8,6.02,,,,,,,,,,,,,,,
Part,pmqvq53ighn3d,Shield,Mon Calamari Ion-Web Elite 2 Shields,10,10,Fighter,Looted,Observed,690.8,690.8,60642.5,2636.2,,,,,,1245.3,0,14.95,,,,,,,,,,,,,,,
Part,pmqvq53igiav6,Shield,Koensayr Deflector Shield M2,3,3,,Looted,Observed,171.7,171.7,3260.6,3627,,,,,,362.1,558.5,3.83,,,,,,,,,,,,,,,
Part,pmqvq53iglyut,Main Reactor,Incom Mark 3 Reactor,5,5,,Looted,Observed,353.2,353.2,9192.9,,18193.7,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvq53igm66t,Main Reactor,Taim Experimental S3,7,7,,Looted,Observed,451.6,451.6,21057.8,,26874.8,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvq53ignfhu,Main Reactor,"Mandalor Motors ""Gorax"" Elite Reactor",10,10,Fighter,Looted,Observed,1183.6,1183.6,45930.4,,31461.8,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvq53igoj8p,Main Reactor,Koensayr Supernova Mark III Reactor,5,5,,Looted,Observed,317,317,8156.9,,15695,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvq53igpe1k,Main Reactor,Sienar Level 1 Reactor,1,1,,Looted,Observed,75.1775,75.1,1342.2,,8641.7,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihqtia,Main Reactor,SoroSuub Fusion Reactor 3,5,5,,Looted,Observed,326.1,326.1,8359,,13753.9,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihrw4x,Engine,Incom Military-Grade Starfighter Engine,6,6,,Looted,Observed,555.4,555.4,13765.9,2099.8,,63.2,63.2,63.2,79,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihs6eh,Engine,Koensayr Tuned Small Ion-Jet Engine,2,2,,Looted,Observed,92.1,92.1,1631.6,1648.1,,59.5,52.5,55.8,51.5,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihtmcx,Engine,Mon Calamari Heavy Ion Engines,5,5,,Looted,Observed,257.2,257.2,7031.3,1335.3,,51,51,49.8,55.4,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihusoy,Engine,Quantum Ion Drive,8,8,,Looted,Observed,579.1,579.1,29988.1,1900.1,,64.7,69.4,66,95.7,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihvpr2,Engine,T86 Shooting Star Engine,6,6,,Looted,Observed,396.2,396.2,10709.7,1960.4,,62.8,62.9,61,85,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihw95c,Engine,Kuat Engineering Systems TC-62 Engines,10,10,Fighter,Looted,Observed,737.9,737.9,57989.7,1954.8,,75.1,74.3,75.6,97.3,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihx605,Engine,Kuat Engineering Systems TC-62 Engines,10,10,Fighter,Looted,Observed,703.1,703.1,50583.6,1793.6,,71.7,74.9,71.9,97.5,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihyf9j,Engine,Incom Improved Fusialthrust 2,8,8,,Looted,Observed,587.6,587.6,30262.9,1800.6,,67.6,70.1,63.3,73.8,,,,,,,,,,,,,,,,,,
Part,pmqvq53ihzv0m,Engine,"MandalMotors X-57 ""Vandal"" Engine",4,4,,Looted,Observed,215,215,4163.8,1480.5,,59.3,61.2,56,59.9,,,,,,,,,,,,,,,,,,
Part,pmqvq53ih12coa,Capacitor,"SubPro ""Defiant"" C3 Capacitor",7,7,,Looted,Observed,453.9,453.9,17476.7,1160.3,,,,,,,,,778.2,29,,,,,,,,,,,,,
Part,pmqvq53ih13dg1,Capacitor,"Qualdex ""Miser"" Standard",2,2,,Looted,Observed,110.3,110.3,1947.3,1207.1,,,,,,,,,894.2,32.5,,,,,,,,,,,,,
Part,pmqvq53ih14a4x,Capacitor,Mon Calamari Heavy Capacitor,5,5,,Looted,Observed,314.5,314.5,6658.9,1138,,,,,,,,,643.1,25.1,,,,,,,,,,,,,
Part,pmqvq53ih15dhy,Capacitor,Kuat Systems Engineering Limited Mark IV Capacitor,8,8,,Looted,Observed,715.5,715.5,34205.2,1288.1,,,,,,,,,918.37918,43.9,,,,,,,,,,,,,
Part,pmqvq53ih167xe,Capacitor,Novaldex Sarlacc S3,5,5,,Looted,Observed,330.1,330.1,6711.4,1315.5,,,,,,,,,648.6,25.6,,,,,,,,,,,,,
Part,pmqvq53ih17ed,Capacitor,Mon Calamari Modified Standard Capacitor,4,4,,Looted,Observed,234.1,234.1,8406.3,892,,,,,,,,,807,31,,,,,,,,,,,,,
Part,pmqvq53ih18tku,Capacitor,Kuat Systems Engineering Performance Mark II Capacitor,4,4,,Looted,Observed,240.2,240.2,4618.8,1048.8,,,,,,,,,705.5,25.1,,,,,,,,,,,,,
Part,pmqvq53ii19z4,Capacitor,TIE Elite Capacitor Mark 3,6,6,,Looted,Observed,429.5,429.5,10933.9,1098.5,,,,,,,,,887.8,29.7,,,,,,,,,,,,,
Part,pmqvq53ii1aiax,Capacitor,Qualdex Conservator QX4,8,8,,Looted,Observed,705.9,705.9,28542.2,1157.4,,,,,,,,,812.6,34.7,,,,,,,,,,,,,
Part,pmqvq53ii1b6d2,Capacitor,Qualdex Conservator QX4,8,8,,Looted,Observed,666.7,666.7,32504.9,1239.2,,,,,,,,,721.9,27.9,,,,,,,,,,,,,
Part,pmqvq53ii1c612,Booster,SoroSuub Mark III Liberator Boosters,5,5,,Looted,Observed,314.6,314.6,5064.5,545.5,,,,,,,,,,,1210,31.2,122.8,24.7,18.2,,,,,,,,
Part,pmqvq53ii1dl9z,Booster,"Koensayr ""Racer"" Mark II Booster",7,7,,Looted,Observed,474,474,13326.3,535.9,,,,,,,,,,,1331,33.6,131.3,26.2,20.3,,,,,,,,
Part,pmqvq53ii1ehrr,Booster,"Koensayr ""Racer"" Mark I Booster",5,5,,Looted,Observed,310.6,310.6,5208.9,540.2,,,,,,,,,,,1210.1,30.2,127.6,23.6,18.2,,,,,,,,
Part,pmqvq53ii1fb41,Booster,CORELLIAN ENGINEERING CORP. PROMOTIONA,4,4,,Looted,Observed,254.9,254.9,4132.7,537.3,,,,,,,,,,,1650,38.2,160.3,33.6,24.6,,,,,,,,
Part,pmqvq53ii1gjbc,Booster,"The ""Nova Breaker"" 792-W Booster",6,6,,Looted,Observed,475.3,475.3,10376,523.6,,,,,,,,,,,1815.1,44.1,187.3,35.9,28.4,,,,,,,,
Part,pmqvq53ii1h7ro,Booster,"SubPro Enhanced Mark II ""Accelatron"" Boosters",4,4,,Looted,Observed,252.9,252.9,3578.2,495,,,,,,,,,,,1650.1,37.1,165.2,31.8,25.5,,,,,,,,
Part,pmqvq53ii1iiwn,Booster,Kuat Drive Yards Mark I Military Grade Boosters,1,1,,Looted,Observed,75.9,75.9,839,468.3,,,,,,,,,,,1000.1,24.9,93.6,20.1,15.1,,,,,,,,
Part,pmqvq53ii1jmru,Booster,Kuat Systems Engineering CB-6 Boosters,1,1,,Looted,Observed,75.3,75.3,748.9,522.5,,,,,,,,,,,1000,21.7,94.4,20.2,15,,,,,,,,
Part,pmqvq53ii1kcnd,Booster,"Cygnus ""Flash-Booster 3"" Starship Boosters",2,2,,Looted,Observed,109.7,109.7,1459.1,549.7,,,,,,,,,,,1500.1,38.2,135.6,30.3,22,,,,,,,,
Part,pmqvq53ii1lmh4,Booster,SoroSuub Supercharged Mark III Liberator Boosters,6,6,,Looted,Observed,490,490,8890.5,531.5,,,,,,,,,,,1815.1,43.5,191.5,35.9,27.9,,,,,,,,
Part,pmqvq53ii1muox,Booster,Republic Sienar Systems Special Booster,4,4,,Looted,Observed,261.8,261.8,4082.6,501.8,,,,,,,,,,,1650.1,40.6,159.7,32.5,24.7,,,,,,,,
Part,pmqvq53ii1pu81,Booster,"SoroSuub Improved Mark II ""Liberator""",4,4,,Looted,Observed,266.3,266.3,3331.3,530.5,,,,,,,,,,,1650,40.1,163.2,33.2,25.2,,,,,,,,
Part,pmqvqa1ft1r2yx,Main Reactor,Kuat Systems Engineering RCT-X Reactor,4,4,,Looted,Observed,241,241,6570.7,,11865.8,,,,,,,,,,,,,,,,,,,,,,
Part,pmqvqa1ft1szbp,Shield,Phased Fullerine FX92 Energy Shield,8,8,,Looted,Observed,521.9,521.9,32567,3438.6,,,,,,1633.8,1531,11.81,,,,,,,,,,,,,,,
Part,pmqvroot306t5,Engine,Kuat Engineering Systems F-31 Drive Engine,7,7,,Looted,Observed,478.1,478.17478,13637.1,1759.3,,56.1,54.4,58.2,55.3,,,,,,,,,,,,,,,,,,
Part,pmr9f2u721l8w,Main Reactor,Armek Phase Grinder Reactor,10,10,Fighter,Looted,Observed,737.5,737.5,31623.2,,30585.6,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9f2u732kpg,Shield,Koensayr Deflector M6,6,6,,Looted,Observed,383.4,383.4,16031.7,1867.1,,,,,,924.3,877.4,10.59,,,,,,,,,,,,,,,
Part,pmr9f2u733pji,Weapon,Sienar Design Systems Heavy Imperial Special Forces Cannon,8,8,,Looted,Observed,696.6,696.6,34036.1,1578.5,,,,,,,,,,,,,,,,,1987.9,2855.5,0.63,0.633,35.8,0.414,
Part,pmr9f2u734ezi,Weapon,ArMek SW-7a Ion Cannon,8,8,,Looted,Observed,517.3,517.3,18750.2,2298.5,,,,,,,,,,,,,,,,,2098.1,2843.2,0.635,0.622,38.5,0.424,
Part,pmr9f2u735vpb,Weapon,A-TECH ELITE PROTOTYPE DISINTEGRATOR CANNON,10,10,Fighter,REed,Observed,869.6,869.6,35043.6,1381.8,,,,,,,,,,,,,,,,,3233.4,5427.6,0.877,0.856,24.8,0.353,
Part,pmr9iszaq6h1f,Shield,Koensayr Deflector Shield M2,3,3,,Looted,Observed,172,172,3053.9,2194.3,,,,,,553.1,416.2,3.92,,,,,,,,,,,,,,,
Part,pmr9itreg73dx,Main Reactor,BASIC REACTOR,1,1,,Looted,Observed,65.5,65.5,907.4,,8632.8,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9iurf184i,Engine,Damorian RX7 Ion Engine,4,4,,Looted,Observed,219.3,219.3,4598.7,1679.9,,60.8,56.7,61,60.1,,,,,,,,,,,,,,,,,,
Part,pmr9iw5kx9477,Weapon,Corellian Beamrail Gauss Cannon,10,10,Fighter,Looted,Observed,696,696,56792.6,3152.6,,,,,,,,,,,,,,,,,2571.6,4202.6,0.794,0.486,38.7,0.436,
Part,pmr9ixe0la5z0,Weapon,Corellian Beamrail Gauss Cannon,10,10,Fighter,Looted,Observed,685.9,685.9,52476.7,2282.7,,,,,,,,,,,,,,,,,2916.2,3718.9,0.751,0.502,35.6,0.411,
Part,pmr9ixu74bl5w,Droid Interface,-LOKI- MARK IV DROID INTERFACE,,7,,Crafted,Observed,435.8,872,6354.8,716.6,,,,,,,,,,,,,,,,12.6,,,,,,,
Part,pmr9iyr69coou,Shield,Moncal Ionweb Prototype B Shield,6,6,,Looted,Observed,383.7,383.7,15623,1907.8,,,,,,1613.6,1414.9,8.82,,,,,,,,,,,,,,,
Part,pmr9izzzhdxiu,Booster,Republic Sienar Systems Ion Booster,4,4,,Looted,Observed,336.4,336.4,3150.2,450,,,,,,,,,,,1980,49.5,198,36.3,25,,,,,,,,
Part,pmr9j0p96ewiz,Booster,"Qualdex ""Halcyon"" Starfighter Booster",8,8,,Looted,Observed,840.9,840.9,26207.6,600,,,,,,,,,,,2395.8,59.9,239.6,43.9,30.8,,,,,,,,
Part,pmr9j47tbf2qx,Shield,Moncal Ionweb Prototype B Shield,6,6,,Looted,Observed,394.9,394.9,19893.6,2983,,,,,,1700.1,972.5,8.2,,,,,,,,,,,,,,,
Part,pmr9j8tuegvc4,Shield,Sienar Fleet Systems Polyweb 4 Shield,8,8,,Looted,Observed,609.8,609.8,36893.5,1990.5,,,,,,1789.5,1748.5,11.52,,,,,,,,,,,,,,,
Part,pmr9j9t41hf36,Booster,MandalMotors Modified JBJ Mark II Boosters,4,4,,Looted,Observed,262.7,262.7,3025.6,550.4,,,,,,,,,,,1650.1,42,160.5,33,25.5,,,,,,,,
Part,pmr9jahaiiy26,Weapon,Corellian Beamrail Gauss Cannon,10,10,Fighter,Looted,Observed,675.6,675.6,49011.3,2797,,,,,,,,,,,,,,,,,2644.7,4128,0.759,0.464,37.3,0.411,
Part,pmr9jcjlkjo3u,Shield,Cygnus Mark II Shields,4,4,,Looted,Observed,214.3,214.3,5283.5,3088.7,,,,,,589,446.5,5.86,,,,,,,,,,,,,,,
Part,pmr9jczyfkljb,Booster,"MandalMotors ""Q Series"" Booster",8,8,,Looted,Observed,841,841,26208.7,600,,,,,,,,,,,2395.8,59.9,239.6,43.9,30.8,,,,,,,,
Part,pmr9jdz5wlr0b,Booster,Republic Sienar Systems Ion Booster,4,4,,Looted,Observed,336.4,336.4,3150.2,450,,,,,,,,,,,1980,49.5,198,36.3,25,,,,,,,,
Part,pmr9jeuxxmfaf,Main Reactor,Incom Mark 3 Reactor,5,5,,Looted,Observed,342.7,342.7,8927,,17205.5,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9jhdjnnthb,Main Reactor,Sienar Fleet Systems Imperial-2 Reactor,4,4,,Looted,Observed,267.7,267.7,5244.9,,9952.7,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9jibg9oyoa,Engine,Bezelbok Kessel Runner,7,7,,Looted,Observed,465.9,465.9,15192.8,1762.1,,53.5,53.1,55.7,59.1,,,,,,,,,,,,,,,,,,
Part,pmr9jkg1gpglf,Engine,Kuat Engineering Systems TC-62 Engines,10,10,Fighter,Looted,Observed,759.7,759.7,52843.1,1777.3,,71.4,75.9,75.8,102.2,,,,,,,,,,,,,,,,,,
Part,pmr9jkvsxq9cq,Engine,Kuat Engineering Systems TC-62 Engines,10,10,Fighter,Looted,Observed,734.8,734.8,50009.4,1793.2,,74.8,70.5,76.5,108.7,,,,,,,,,,,,,,,,,,
Part,pmr9jm6g8rahl,Shield,Protecto-net Shield,7,8,,Looted,Observed,570.5,570.5,35083.9,3665.7,,,,,,2079.8,1707.8,11.99,,,,,,,,,,,,,,,
Part,pmr9jmnwus628,Shield,Protecto-net Shield,7,8,,Looted,Observed,600,600,36203.9,3008.2,,,,,,2224.7,1919.1,13.02,,,,,,,,,,,,,,,
Part,pmr9joheftgx8,Shield,Protecto-net Shield,7,8,,Looted,Observed,584.4,584.4,38777.4,3050.8,,,,,,2023.5,1965.8,11.07,,,,,,,,,,,,,,,
Part,pmr9jqvu9u7i7,Booster,"Qualdex ""Halcyon"" Starfighter Booster",8,8,,Looted,Observed,841.1,841.1,26204.4,600,,,,,,,,,,,2395.8,59.9,239.6,43.9,30.8,,,,,,,,
Part,pmr9jsjrqvljl,Weapon,"Kuat Drive Yards ""Pounder"" Mk1",4,4,,Looted,Observed,218.7,218.7,4361.9,1960.1,,,,,,,,,,,,,,,,,650.9,968.3,0.633,0.628,30,0.403,
Part,pmr9jt5w3wpht,Weapon,Taim & Bak IX4 Laser Cannon,4,4,,Looted,Observed,218.8,218.8,3825.8,2020.3,,,,,,,,,,,,,,,,,783.6,973.1,0.677,0.62,30,0.421,
Part,pmr9jz18px6vz,Weapon,Kuat Systems Engineering Light Disruptor,1,1,,Looted,Observed,74.5,74.5,1031.5,1955,,,,,,,,,,,,,,,,,277.7,382.1,0.303,0.723,19,0.325,
Part,pmr9jzojuyory,Weapon,Kuat Systems Engineering Double Blaster,3,3,,Looted,Observed,158.8,158.8,2310.2,2061.8,,,,,,,,,,,,,,,,,689.9,814.6,0.485,0.521,16.5,0.33,
Part,pmr9k0at2zwyi,Weapon,Sienar Design Systems Imperial Blaster,1,1,,Looted,Observed,81.5,81.5,1084.3,2039.5,,,,,,,,,,,,,,,,,282.4,376.6,0.486,0.513,21.2,0.33,
Part,pmr9k123110to1,Weapon,"Incom ""Tri-Cannon""",8,8,,Looted,Observed,700.8,700.8,38221.6,2799.9,,,,,,,,,,,,,,,,,2387.6,3691.9,0.625,0.625,14.1,0.425,
Part,pmr9k2lc1114op,Weapon,"Incom ""Tri-Cannon""",8,8,,Looted,Observed,700.8,700.8,38219.5,2800,,,,,,,,,,,,,,,,,2387.8,3691.5,0.625,0.625,14.1,0.425,
Part,pmr9k3w8c12nzx,Weapon,Taim & Bak Ht-12 Heavy Laser Cannon,8,8,,Looted,Observed,615.9,615.9,34428.3,2269.6,,,,,,,,,,,,,,,,,2003.6,3264.4,0.623,0.627,31.8,0.417,
Part,pmr9k4dhr13zk1,Engine,GRIMTECH IV STARFIGHTER ENGINE,,7,,Crafted,Observed,437,874.2,14643.3,1345.3,,70.5,70.5,66,102,,,,,,,,,,,,,,,,,,
Part,pmr9k58x014ssm,Weapon,-LOKI- ADVANCED BLASTER (GREEN),,7,,Crafted,Observed,452.5,905.3,14476.5,2395.2,,,,,,,,,,,,,,,,,1438.7,2927,0.69,0.69,21.9,0.35,
Part,pmr9k663v1599f,Capacitor,-LOKI- MARK IVY WEAPONS CAPACITOR,,7,,Crafted,Observed,436.5,873.4,14956,1477.3,,,,,,,,,1351.6,40.7,,,,,,,,,,,,,
Part,pmr9k6qiz16y1o,Main Reactor,-FOO- KOENSAYR REACTOR STAR SYNTHESIS ARCHETYPE D,,7,,Crafted,Observed,218.2,434.2,6234.5,,21605.7,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9k7mwy17rto,Weapon,MID-GRADE BLASTER (GREEN),,3,,Crafted,Observed,166.9,333.4,2325.2,2171.6,,,,,,,,,,,,,,,,,588.6,1021,0.67,0.67,19.2,0.35,
Part,pmr9k80ud18afj,Weapon,MID-GRADE BLASTER { GREEN),,3,,Crafted,Observed,166.9,333.4,2325.2,2171.6,,,,,,,,,,,,,,,,,596.3,1021,0.67,0.67,19.2,0.35,
Part,pmr9k8xj019k4x,Engine,MARK II STARFIGHTER ENGINE,,3,,Crafted,Observed,159.5,318.5,3516.5,1676.1,,61.9,61.9,57.6,77,,,,,,,,,,,,,,,,,,
Part,pmr9k9lqj1acvt,Main Reactor,MARK II FUSION REACTOR,,3,,Crafted,Observed,160.2,318.3,3023.7,,13625,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9kabpi1bmok,Weapon,GRIMTECH V BLASTER (RED),,9,Fighter,Crafted,Observed,530.5,1061.3,36352.9,2504.5,,,,,,,,,,,,,,,,,1884.3,3793.5,0.7,0.7,26.2,0.351,
Part,pmr9kb0ti1cw2j,Weapon,Mon Calamari Light Blaster,2,2,,Looted,Observed,92.5,92.5,1593.3,1912.3,,,,,,,,,,,,,,,,,341.1,501,0.614,0.598,27.9,0.412,
Part,pmr9kbp8r1d5mb,Weapon,"Hoersch-Kessel ""Scorcher 3""",6,6,,Looted,Observed,393.9,393.9,14347.7,2004.8,,,,,,,,,,,,,,,,,1800.8,2669.4,0.608,0.625,37.4,0.408,
Part,pmr9kc4s51ee03,Weapon,Taim & Bak IX4 Laser Cannon,4,4,,Looted,Observed,222.4,222.4,4910.4,2117.9,,,,,,,,,,,,,,,,,667.8,1046.1,0.643,0.612,32.6,0.423,
Part,pmr9kciln1fig0,Armor,Koensayr Enhanced Heavy Durasteel,5,5,,Looted,Observed,1015.1,1015.1,7714.4,,,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9kd4ag1gmvr,Weapon,Corellian Beamrail Gauss Cannon,10,10,Fighter,Looted,Observed,691.6,691.6,49542.3,2418.2,,,,,,,,,,,,,,,,,2629.5,3932.5,0.773,0.48,32.8,0.434,
Part,pmr9kdrrg1hkxa,Booster,"Incom Supercharged ""Vynock"" Boosters",6,6,,Looted,Observed,453.3,453.3,10150.4,584.3,,,,,,,,,,,1814.9,42.8,168.2,36.4,28.2,,,,,,,,
Part,pmr9keb651i8fa,Main Reactor,Cygnus Mark I Reactor,1,1,,Looted,Observed,78,78,1075.4,,12054.2,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9kf4it1jj16,Engine,"Qualdex ""Kyromaster"" Engine",3,4,,Looted,Observed,168.3,168.3,2406.7,1593.7,,49.6,51.4,49.5,44.2,,,,,,,,,,,,,,,,,,
Part,pmr9kfisg1k4q5,Shield,Taim Torton Heavy Shield,10,10,Fighter,Looted,Observed,669.5,669.5,103899.2,2010.8,,,,,,3141.8,2310.1,14.05,,,,,,,,,,,,,,,
Part,pmr9kg0hx1l51z,Main Reactor,"Slayn & Korpil ""Hypervortex"" Reactor",6,6,,Looted,Observed,619,619,14420.8,,18999.4,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9kgrm71m5aw,Booster,"Novaldex ""Hypernova"" Starship Booster",4,4,,Looted,Observed,336.4,336.4,3150,450,,,,,,,,,,,1980,49.5,198,36.3,25,,,,,,,,
Part,pmr9kiupm1nhse,Booster,"Qualdex ""Halcyon"" Starfighter Booster",8,8,,Looted,Observed,841,841,26204.4,600,,,,,,,,,,,2395.8,59.9,239.6,43.9,30.8,,,,,,,,
Part,pmr9kjbbc1oxjl,Shield,MandalMotors Flexshield Ks-25 Shields,6,6,,Looted,Observed,401.7,401.7,16955.5,3264.3,,,,,,589.7,917,10.78,,,,,,,,,,,,,,,
Part,pmr9kk1s51py1u,Capacitor,"Corellian Cruiser-grade Weapons Capacitor ""CAP9""",8,8,,Looted,Observed,811.9,811.9,34791.5,1220.9,,,,,,,,,877.8,42.9,,,,,,,,,,,,,
Part,pmr9kkyi01qlrt,Main Reactor,Sienar Design Systems High-Output Reactor,6,6,,Looted,Observed,618.9,618.9,14421.4,,18999.7,,,,,,,,,,,,,,,,,,,,,,
Part,pmr9kllek1redv,Booster,"Qualdex ""X-Boost"" Mark IV Boosters",7,7,,Looted,Observed,476.4,476.4,14510.5,663.8,,,,,,,,,,,1331,32.2,126.1,26.9,20.3,,,,,,,,
Part,pmr9kty441svhk,Engine,PROTOTYPE ENGINE,,1,,Crafted,Observed,100,200,1500,2000,,48,48,52,54,,,,,,,,,,,,,,,,,,
Part,pmr9kua6r1t9b0,Shield,MARK II DEFLECTOR SHIELD GENERATOR,,3,,Crafted,Observed,158.7,316.8,2703.2,2623.8,,,,,,730.1,730.1,4.27,,,,,,,,,,,,,,,
